batter,batting_hand_0.4999999991,name_last,name_first,key_mlbam,key_bbref,key_fangraphs,key_retro
607536.0,L,freeland,kyle,607536,freelky01,16256,freek001
607625.0,R,lugo,seth,607625,lugose01,12447,lugos001
607680.0,R,pillar,kevin,607680,pillake01,12434,pillk001
607732.0,R,stallings,jacob,607732,stallja01,13723,stalj001
607752.0,R,travis,sam,607752,travisa01,16263,travs001
607776.0,R,williamson,mac,607776,willima11,14158,willm008
607968.0,R,rucinski,drew,607968,rucindr01,12499,rucid001
608061.0,R,rivera,t. j.,608061,rivertj01,12495,rivet001
608070.0,L,ramirez,jose,608070,ramirjo01,13510,ramij003
608324.0,R,bregman,alex,608324,bregmal01,17678,brega001
608325.0,R,cecchini,gavin,608325,cecchga02,17005,ceccg002
608331.0,L,fried,max,608331,friedma01,13743,friem001
608336.0,L,gallo,joey,608336,gallojo01,14128,gallj002
608337.0,R,giolito,lucas,608337,giolilu01,15474,gioll001
608348.0,R,kelly,carson,608348,kellyca02,13620,kellc002
608365.0,R,russell,addison,608365,russead02,14106,russa002
608369.0,L,seager,corey,608369,seageco01,13624,seagc001
608371.0,R,sims,lucas,608371,simslu01,13470,simsl001
608379.0,R,wacha,michael,608379,wachami01,14078,wachm001
608384.0,L,williams,nick,608384,willini01,14330,willn001
608385.0,L,winker,jesse,608385,winkeje01,13590,winkj002
608566.0,R,marquez,german,608566,marquge01,15038,marqg001
608577.0,L,mazara,nomar,608577,mazarno01,14553,mazan001
608596.0,R,murphy,tom,608596,murphto04,13499,murpt002
608597.0,L,guzman,ronald,608597,guzmaro01,14388,guzmr001
608638.0,R,chargois,j. t.,608638,chargjt01,13767,charj001
608641.0,L,cooney,tim,608641,cooneti01,13762,coont001
608648.0,R,duffey,tyler,608648,duffety01,13758,dufft001
608650.0,L,enns,dietrich,608650,ennsdi01,13932,ennsd001
608652.0,L,farrell,luke,608652,farrelu01,15101,farrl001
608654.0,R,field,johnny,608654,fieldjo04,15048,fielj003
608665.0,R,graveman,kendall,608665,graveke01,15514,gravk001
608671.0,L,jankowski,travis,608671,jankotr01,13768,jankt001
608672.0,L,johnson,micah,608672,johnsmi04,13809,johnm006
608700.0,R,plawecki,kevin,608700,plaweke01,13807,plawk001
608701.0,R,refsnyder,rob,608701,refsnro01,13770,refsr001
608703.0,R,reynolds,matt,608703,reynoma03,13788,reynm003
608717.0,R,stratton,chris,608717,stratch01,13761,strac001
608718.0,L,suter,brent,608718,suterbr01,13942,suteb001
608723.0,R,voth,austin,608723,vothau01,15047,votha001
609275.0,L,mondesi,adalberto,609275,mondera02,13769,mondr003
609280.0,R,andujar,miguel,609280,andujmi01,15878,andum001
611093.0,R,bracho,silvino,611093,brachsi01,15051,bracs001
611177.0,R,garcia,adonis,611177,garciad01,13777,garca004
612672.0,R,chen,wei-yin,612672,chenwe02,13071,chenw001
614173.0,L,cordero,franchy,614173,cordefr02,14567,cordf003
614177.0,R,reyes,franmil,614177,reyesfr01,14566,reyef001
620439.0,R,barreto,franklin,620439,barrefr02,15519,barrf001
620443.0,R,torrens,luis,620443,torrelu01,15905,torrl001
620446.0,L,urena,richard,620446,urenari01,16411,urenr001
620454.0,L,castillo,jose,620454,castijo03,17169,castj007
620982.0,R,pinto,ricardo,620982,pintori01,16318,pintr002
621002.0,R,robertson,daniel,621002,roberda10,14145,robed004
621020.0,R,swanson,dansby,621020,swansda01,18314,swand001
621035.0,R,taylor,chris,621035,tayloch03,13757,taylc001
621043.0,R,correa,carlos,621043,correca01,14162,corrc001
621044.0,L,valentin,jesmuel,621044,valenje01,14548,valej006
621052.0,R,reyes,alex,621052,reyesal02,15015,reyea004
621107.0,R,eflin,zach,621107,eflinza01,13774,efliz001
621111.0,R,buehler,walker,621111,buehlwa01,19374,buehw001
621112.0,R,blackburn,paul,621112,blackpa01,14739,blacp001
621121.0,L,mccullers,lance,621121,mcculla02,14120,mccul002
621141.0,R,lockett,walker,621141,lockewa01,13804,lockw001
621199.0,R,bowman,matthew,621199,bowmama01,13528,bowmm001
621209.0,R,moscot,jon,621209,moscojo01,13849,moscj001
621242.0,R,diaz,edwin,621242,diazed04,14710,diaze006
621244.0,R,berrios,jose,621244,berrijo01,14168,berrj001
621249.0,R,underwood,duane,621249,underdu01,14677,unded001
621261.0,R,oswalt,corey,621261,oswalco01,13677,oswac001
621281.0,R,wagner,tyler,621281,wagnety01,13796,wagnt001
621295.0,R,wittgren,nick,621295,wittgni01,15594,wittn001
621311.0,L,dahl,david,621311,dahlda01,13744,dahld001
621381.0,R,strahm,matt,621381,strahma01,13799,stram001
621389.0,R,blach,ty,621389,blachty01,14361,blact002
621433.0,L,phillips,brett,621433,phillbr02,14735,philb002
621439.0,R,buxton,byron,621439,buxtoby01,14161,buxtb001
621446.0,R,brinson,lewis,621446,brinsle01,14352,brinl001
621453.0,L,duggar,steven,621453,duggast01,17719,duggs001
621471.0,L,powell,boog,621471,powelbo02,15103,poweb002
621512.0,R,nido,tomas,621512,nidoto01,13755,nidot001
621559.0,L,moroff,max,621559,morofma01,14556,morom001
621563.0,L,wendle,joey,621563,wendljo01,13853,wendj002
621566.0,L,olson,matt,621566,olsonma02,14344,olsom001
621962.0,R,thomas,ian,621962,thomaia01,13881,thomi001
622072.0,R,wood,alex,622072,woodal02,13781,wooda002
622075.0,R,almonte,yency,622075,almonye01,15068,almoy001
622097.0,R,thompson,jake,622097,thompja03,14371,thomj007
622110.0,R,duffy,matt,622110,duffyma01,13836,duffm002
622168.0,R,munoz,yairo,622168,munozya01,16313,munoy001
622194.0,L,maxwell,bruce,622194,maxwebr01,13866,maxwb001
622210.0,L,parmley,ian,622210,parmlia01,13821,parmi001
622217.0,R,o'grady,chris,622217,ogradch01,13818,ograc001
622226.0,L,cozens,dylan,622226,cozendy01,15115,cozed001
622270.0,R,mejia,alex,622270,mejiaal01,13877,mejia002
622441.0,R,bautista,rafael,622441,bautira01,15769,bautr001
622446.0,R,rodriguez,jefry,622446,rodrije01,17018,rodrj005
622491.0,R,castillo,luis,622491,castilu02,15689,castl003
622497.0,S,gomez,miguel,622497,gomezmi01,17075,gomem002
622534.0,R,margot,manuel,622534,margoma01,14712,margm001
622554.0,R,dominguez,seranthony,622554,dominse01,19249,domis001
622608.0,R,senzatela,antonio,622608,senzaan01,15488,senza001
622663.0,R,severino,luis,622663,severlu01,15890,sevel001
622666.0,L,camargo,johan,622666,camarjo01,14950,camaj001
622682.0,L,reyes,victor,622682,reyesvi01,15487,reyev001
622694.0,R,hernandez,elieser,622694,hernael01,16933,herne002
622713.0,S,vielma,engelb,622713,vielmen01,15481,viele001
622766.0,R,diaz,miguel,622766,diazmi02,18815,diazm004
622864.0,R,romero,fernando,622864,romerfe01,15885,romef001
623143.0,R,brown,trevor,623143,browntr01,13895,browt002
623149.0,R,sewald,paul,623149,sewalpa01,13892,sewap001
623166.0,R,miller,mike,623166,millemi01,13891,millm003
623167.0,R,flexen,chris,623167,flexech01,13896,flexc001
623182.0,R,kivlehan,patrick,623182,kivlepa01,13910,kivlp001
623352.0,L,hader,josh,623352,haderjo01,14212,hadej001
623395.0,R,ellington,brian,623395,ellinbr02,17233,ellib001
623402.0,R,peterson,tim,623402,peterti01,13946,petet001
623451.0,R,stephens,jackson,623451,stephja01,14420,stepj002
623454.0,R,anderson,drew,623454,anderdr02,15130,anded003
623520.0,R,bote,david,623520,boteda01,14593,boted002
623993.0,L,santander,anthony,623993,santaan02,14551,santa003
624407.0,L,lin,tzu-wei,624407,lintz02,14678,lin-t001
624414.0,R,arroyo,christian,624414,arroych01,16434,arroc001
624424.0,L,conforto,michael,624424,confomi01,16376,confm001
624428.0,L,frazier,adam,624428,fraziad01,15223,fraza001
624431.0,R,trevino,jose,624431,trevijo01,16725,trevj001
624507.0,L,jones,ryder,624507,jonesry01,15982,joner005
624577.0,R,puig,yasiel,624577,puigya01,14225,puigy001
624585.0,R,soler,jorge,624585,solerjo01,14221,solej001
624586.0,R,hoyt,james,624586,hoytja01,14605,hoytj001
624636.0,R,tocci,carlos,624636,toccica01,14558,toccc001
625329.0,L,urrutia,henry,625329,urruthe01,14441,urruh001
625643.0,R,lopez,reynaldo,625643,lopezre01,16400,loper003
627500.0,L,tseng,jen-ho,627500,tsengje01,15524,tsenj001
627894.0,L,gohara,luiz,627894,goharlu01,15166,gohal001
628317.0,R,maeda,kenta,628317,maedake01,18498,maedk001
628318.0,R,makita,kazuhisa,628318,makitka01,19757,makik001
628329.0,R,castillo,rusney,628329,castiru02,17016,castr004
628333.0,R,despaigne,odrisamer,628333,despaod01,16017,despo001
628336.0,L,fernandez,jose,628336,fernajo03,19254,fernj004
628338.0,R,heredia,guillermo,628338,heredgu01,18721,hereg002
628356.0,R,kang,jung ho,628356,kangju01,17182,kangj001
628452.0,R,iglesias,raisel,628452,iglesra01,17130,igler001
628711.0,L,urias,julio,628711,uriasju01,14765,uriaj001
630111.0,R,tomas,yasmany,630111,tomasya01,17171,tomay001
640447.0,R,ervin,phil,640447,ervinph01,14738,ervip001
640449.0,R,frazier,clint,640449,frazicl01,15983,frazc001
640455.0,R,manaea,sean,640455,manaese01,15873,manas001
640457.0,L,meadows,austin,640457,meadoau01,15672,meada001
640460.0,R,peterson,dustin,640460,peterdu01,15189,peted002
640461.0,R,pinder,chad,640461,pindech01,15191,pindc001
640463.0,R,shipley,braden,640463,shiplbr01,15158,shipb001
641154.0,L,lopez,pablo,641154,lopezpa01,17085,lopep002
641313.0,R,anderson,tim,641313,anderti01,15172,andet001
641319.0,L,asuaje,carlos,641319,asuajca01,15197,asuac001
641341.0,R,bashlor,tyler,641341,bashlty01,15203,basht001
641343.0,L,bauers,jake,641343,bauerja01,15194,bauej001
641355.0,L,bellinger,cody,641355,bellico01,15998,bellc002
641432.0,L,calhoun,willie,641432,calhowi01,17838,calhw001
641438.0,R,carle,shane,641438,carlesh01,15258,carls002
641487.0,L,crawford,j. p.,641487,crawfjp01,15491,crawj002
641525.0,R,dixon,brandon,641525,dixonbr01,15214,dixob001
641531.0,R,dozier,hunter,641531,doziehu01,15117,dozih001
641553.0,R,engel,adam,641553,engelad01,15082,engea001
641583.0,L,fowler,dustin,641583,fowledu01,17098,fowld002
641598.0,R,garver,mitch,641598,garvemi01,15161,garvm001
641645.0,L,guillorme,luis,641645,guilllu01,16451,guill001
641684.0,R,hermosillo,michael,641684,hermomi01,16285,hermm001
641771.0,R,kuhl,chad,641771,kuhlch01,14975,kuhlc001
641778.0,R,lauer,eric,641778,lauerer01,19316,lauee001
641796.0,R,locastro,tim,641796,locasti01,15124,locat001
641816.0,R,mahle,tyler,641816,mahlety01,16358,mahlt001
641820.0,R,mancini,trey,641820,mancitr01,15149,manct001
641856.0,L,mckinney,billy,641856,mckinbi01,15654,mckib001
641857.0,L,mcmahon,ryan,641857,mcmahry01,15112,mcmar001
641924.0,R,nottingham,jacob,641924,nottija01,16448,nottj001
641933.0,R,o'neill,tyler,641933,oneilty01,15711,oneit001
641941.0,L,pagan,emilio,641941,paganem01,14771,pagae001
641958.0,L,patterson,jordan,641958,pattejo03,15119,pattj005
642003.0,L,reed,cody,642003,reedco01,15232,reedc002
642082.0,L,sisco,chance,642082,siscoch01,15694,siscc001
642086.0,L,smith,dominic,642086,smithdo02,15653,smitd008
642094.0,R,smith,tyler,642094,smithty01,12490,smitt002
642156.0,R,turner,stuart,642156,turnest01,15207,turns002
642162.0,R,valaika,pat,642162,valaipa01,14885,valap001
642180.0,L,wade,tyler,642180,wadety01,15730,wadet002
642229.0,R,wright,daniel,642229,wrighda04,15179,wrigd003
642231.0,R,yacabonis,jimmy,642231,yacabji01,15157,yacaj001
642232.0,R,yarbrough,ryan,642232,yarbrry01,16502,yarbr001
642239.0,R,zastryzny,rob,642239,zastrro01,15094,zastr001
642336.0,S,mejia,francisco,642336,mejiafr01,16403,mejif001
642423.0,L,sierra,magneuris,642423,sierrma01,17023,sierm002
642528.0,R,loaisiga,jonathan,642528,loaisjo01,19753,loaij001
642545.0,R,barria,jaime,642545,barrija01,18356,barrj003
642547.0,R,peralta,freddy,642547,peralfr01,18679,peraf001
642571.0,R,gonzalez,merandy,642571,gonzame01,17313,gonzm007
642701.0,R,santana,dennis,642701,santade01,17878,santd003
642707.0,R,cordoba,allen,642707,cordoal01,15722,corda001
642708.0,R,rosario,amed,642708,rosaram01,15518,rosaa003
642715.0,R,adames,willy,642715,adamewi01,15986,adamw002
642770.0,L,guerra,javy,642770,guerrja02,17292,guerj004
642851.0,R,wynns,austin,642851,wynnsau01,15271,wynna001
643217.0,L,benintendi,andrew,643217,beninan01,17901,benia002
643230.0,L,brault,steven,643230,braulst01,15291,braus002
643256.0,R,cimber,adam,643256,cimbead01,15288,cimba001
643265.0,R,cooper,garrett,643265,coopega03,15279,coopg002
643297.0,L,ege,cody,643297,egeco01,15928,ege-c001
643327.0,R,godley,zack,643327,godleza01,14862,godlz001
643335.0,L,granite,zach,643335,graniza01,15343,granz001
643338.0,L,green,chad,643338,greench03,15552,greec003
643354.0,L,hart,donnie,643354,hartdo01,15306,hartd002
643393.0,L,kemp,tony,643393,kempto01,14894,kempt001
643396.0,R,kiner-falefa,isiah,643396,kineris01,16512,kinei001
643410.0,R,leiter,mark,643410,leitema02,15551,leitm002
643414.0,R,lloyd,kyle,643414,lloydky01,15378,lloyk001
643466.0,L,musgrave,harrison,643466,musgrha01,16532,musgh001
643565.0,L,tauchman,mike,643565,tauchmi01,15274,taucm001
643603.0,R,white,tyler,643603,whitety01,15564,whitt002
643778.0,L,webb,tyler,643778,webbty01,14974,webbt001
644337.0,R,orf,nate,644337,orfna01,15407,orf-n001
644428.0,L,scribner,troy,644428,scribtr01,15570,scrit001
645261.0,R,alcantara,sandy,645261,alcansa01,18684,alcas001
645277.0,L,albies,ozzie,645277,albieoz01,16556,albio001
645302.0,R,robles,victor,645302,roblevi01,18363,roblv001
645848.0,R,alvarez,dariel,645848,alvarda02,15580,alvad002
646240.0,L,devers,rafael,646240,deverra01,17350,dever001
647336.0,R,soroka,mike,647336,sorokmi01,18383,sorom001
648717.0,R,guerrero,alex,648717,guerral01,15670,guera001
649557.0,R,diaz,aledmys,649557,diazal02,15937,diaza003
650402.0,R,torres,gleyber,650402,torregl01,16997,torrg001
650490.0,R,diaz,yandy,650490,diazya01,16578,diazy001
656185.0,L,allen,greg,656185,allengr01,16623,alleg002
656305.0,R,chapman,matt,656305,chapmma01,16505,chapm001
656354.0,L,davis,austin,656354,davisau01,17117,davia003
656427.0,R,flaherty,jack,656427,flaheja01,17479,flahj002
656546.0,R,hoffman,jeff,656546,hoffmje02,17432,hoffj003
656555.0,R,hoskins,rhys,656555,hoskirh01,16472,hoskr001
656669.0,R,luplow,jordan,656669,luplojo01,16424,luplj001
656738.0,L,meyer,ben,656738,meyerbe02,18854,meyeb002
656756.0,L,montgomery,jordan,656756,montgjo01,16511,montj004
656794.0,L,newcomb,sean,656794,newcose01,16943,newcs001
656941.0,L,schwarber,kyle,656941,schwaky01,16478,schwk001
657077.0,L,verdugo,alex,657077,verdual01,17027,verda001
657145.0,R,zagunis,mark,657145,zagunma01,16565,zagum002
657524.0,R,bormann,john,657524,bormajo01,18006,bormj001
657557.0,R,dejong,paul,657557,dejonpa01,18015,dejop001
657571.0,R,ferguson,caleb,657571,ferguca01,19349,fergc001
657658.0,L,lee,braxton,657658,leebr01,16839,lee-b001
657681.0,L,mcgrath,kyle,657681,mcgraky01,16793,mcgrk001
658792.0,R,wilkerson,aaron,658792,wilkeaa01,16904,wilka003
659275.0,R,lamet,dinelson,659275,lametdi01,17186,lamed001
660162.0,L,moncada,yoan,660162,moncayo01,17232,moncy001
660271.0,L,ohtani,shohei,660271,ohtansh01,19755,ohtas001
660670.0,R,acuna,ronald,660670,acunaro01,18401,acunr001
660853.0,R,de los santos,enyel,660853,delosen01,18403,deloe001
663656.0,L,tucker,kyle,663656,tuckeky01,18345,tuckk001
663855.0,R,hicks,jordan,663855,hicksjo03,19618,hickj002
664023.0,L,happ,ian,664023,happia01,17919,happi001
664056.0,R,bader,harrison,664056,baderha01,18030,badeh001
664057.0,L,stevenson,andrew,664057,stevean01,17932,steva001
664058.0,R,fletcher,david,664058,fletcda02,17992,fletd002
664068.0,R,kingery,scott,664068,kingesc01,17975,kings001
664192.0,L,lucchesi,joey,664192,lucchjo01,19320,luccj001
664641.0,L,miranda,ariel,664641,miranar01,17526,miraa002
664842.0,L,kaczmarski,kevin,664842,kaczmke01,18146,kaczk001
664869.0,L,conlon,p. j.,664869,conlopj01,18213,conlp001
665742.0,L,soto,juan,665742,sotoju01,20123,sotoj001
666560.0,R,park,byung ho,666560,parkby01,18497,parkb002
666561.0,R,hwang,jae-gyun,666561,hwangja01,19369,hwanj001
666971.0,R,gurriel,lourdes,666971,gurrilo01,19238,gurrl001
669456.0,R,bieber,shane,669456,biebesh01,19427,biebs001
669720.0,R,hays,austin,669720,haysau01,19363,haysa001
670950.0,R,richards,trevor,670950,richatr01,19309,richt001
